Name,Game Time,Opponent,Line_Type,3-PT Attempted,3-PT Made,3-PT Made (Combo),Assists,Assists (Combo),Blks+Stls,Blocked Shots,Defensive Rebounds,Dunks,FG Attempted,Fantasy Score,Free Throws Made,Offensive Rebounds,Points,Points (Combo),Pts+Asts,Pts+Rebs,Pts+Rebs+Asts,Rebounds,Rebounds (Combo),Rebs+Asts,Steals,Turnovers
Anthony Davis,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,,,5.5,,,,,,,,,,29.5,,,,,15.5,,,,
Anthony Davis,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,,,,,,,,,,,,,24.5,,,,,9.5,,,0.5,
Anthony Davis,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,,,,,,,,,,,,,26.5,,30.5,39.5,43.5,12.5,,16.5,,
Anthony Davis + Jarrett Allen,"Mon, Feb 05 6:00 PM",vs CHA/SAC,Regular,,,,,,,,,,,,,,,,,,,,24.5,,,
Austin Reaves,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,,,7.5,,,,,,,,,,19.5,,,,,5.5,,,,
Austin Reaves,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,,,3.5,,,,,,,,,,,,,,,,,,,
Austin Reaves,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,,,5.5,,,,,,,,,,16.0,,21.5,19.5,25.5,,,9.5,,
Brandin Podziemski,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,,,,,,9.5,,,,
Brandin Podziemski,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,,,4.5,,,,,,,28.5,,,12.0,,16.5,18.5,23.5,7.0,,11.5,,
Brandon Ingram,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,,,,,,,,,,,,,29.5,,,,,7.5,,,,
Brandon Ingram,"Mon, Feb 05 7:00 PM",vs TOR,Goblin,,,,,,,,,,,,,,19.5,,,,,3.5,,,,
CJ McCollum,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,4.5,,,,,,,,,,,,24.5,,,,,,,,,
CJ McCollum,"Mon, Feb 05 7:00 PM",vs TOR,Goblin,,,,,,,,,,,,,,14.5,,,,,,,,,
Cam Thomas,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,3.5,,4.5,,,,,,,,,,29.5,,,,,4.5,,,,
Cam Thomas,"Mon, Feb 05 6:30 PM",vs GSW,Goblin,,,,,,,,,,,,,,19.5,,,,,,,,,
Cam Thomas,"Mon, Feb 05 6:40 PM",vs GSW,Regular,6.5,,,,,,,,,19.0,35.0,4.0,,24.5,,27.5,27.5,31.0,,,,,
Cameron Johnson,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,,,,,,,,,,,,,19.5,,,,,,,,,
Cameron Johnson,"Mon, Feb 05 6:30 PM",vs GSW,Goblin,,1.5,,1.5,,,,,,,,,,11.5,,,,,3.5,,,,
Cameron Johnson,"Mon, Feb 05 6:40 PM",vs GSW,Regular,6.0,2.5,,,,,,,,,27.0,,,14.5,,17.5,19.5,22.5,,,7.5,,
D'Angelo Russell,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,3.5,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,1.5,,,,,,,,,,,,,,,,,,,,,
D'Angelo Russell,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,2.5,,6.0,,1.5,0.5,,,,,,,17.5,,24.5,20.5,27.5,,,9.5,,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,2.5,,,,,,,,,,,,,,,,,3.5,,,,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,0.5,
Darius Garland,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,,,,25.5,,,,,,,,,,,,
Darius Garland,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,5.0,,,,,,,,,,13.5,,18.5,16.5,21.0,,,,,2.5
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,3.5,,5.5,,,,,,,,,,29.5,,,,,5.5,,,3.5,
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,19.5,,,,,2.5,,,,
De'Aaron Fox,"Mon, Feb 05 6:00 PM",vs CLE,Regular,8.0,,,,,,,,0.5,19.5,40.0,5.0,0.5,,,,,,,,,,
De'Aaron Fox,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,2.5,,4.5,,2.5,,,,,,,,24.5,,29.5,28.5,32.5,,,8.0,,
De'Aaron Fox + Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,5.5,,,,,,,,,,,,53.5,,,,,,,,
De'Aaron Fox + Kyrie Irving,"Mon, Feb 05 6:00 PM",vs CLE/PHI,Regular,,,,,,,,,,,,,,,50.5,,,,,,,,
Dejounte Murray,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,3.5,,7.5,,,0.5,,,,,,,24.5,,,,,7.5,,,,
Dejounte Murray,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,,,3.5,,,,,,,,,,19.5,,,,,3.5,,,,
Dejounte Murray,"Mon, Feb 05 6:40 PM",vs LAC,Regular,6.0,,,5.5,,,,,,,38.5,2.5,,22.5,,27.5,27.5,32.5,5.0,,11.0,,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,0.5,,10.5,,,,,,,,,,,,,,,,,,1.5,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,6.5,,,,,,,,,,14.5,,,,,,,,,
Domantas Sabonis,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,9.5,1.5,12.5,47.5,3.5,3.5,,,,,,,,,,
Domantas Sabonis,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,8.0,,,,,,,,,,18.5,,26.5,31.5,39.5,13.0,,,,
Domantas Sabonis + Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,,,15.0,,,,,,,,,,,,,,,,,,
Domantas Sabonis + Draymond Green,"Mon, Feb 05 6:00 PM",vs CLE/BKN,Regular,,,,,,,,,,,,,,,,,,,,20.5,,,
Domantas Sabonis + Jarrett Allen,"Mon, Feb 05 6:00 PM",vs CLE/SAC,Regular,,,,,,,,,,,,,,,,,,,,24.5,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,4.5,,,,,,,,,,,,34.5,,,,,7.5,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,5.5,,,,,,,,,,24.5,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs SAC,Regular,9.0,,,,,,,,0.5,20.5,47.5,5.5,,,,,,,,,,,
Donovan Mitchell,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,7.0,,,,,,,,,,28.5,,35.5,33.5,40.5,5.0,,12.5,1.5,
Donovan Mitchell + Kawhi Leonard,"Mon, Feb 05 6:00 PM",vs SAC/ATL,Regular,,,,,,,,,,,,,,,55.0,,,,,,,,
Draymond Green,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,9.5,,,,,9.5,,,,
Draymond Green,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,,,,,,,,,,,6.5,,,,,,,,,
Draymond Green,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,0.5,,6.5,,1.5,,,,,28.5,,,8.0,,14.5,15.5,22.5,7.0,,14.0,,2.5
Draymond Green + Mikal Bridges,"Mon, Feb 05 6:30 PM",vs BKN/GSW,Regular,,,,,,,,,,,,,,,,,,,,12.5,,,
Draymond Green + Spencer Dinwiddie,"Mon, Feb 05 6:30 PM",vs BKN/GSW,Regular,,,,,13.0,,,,,,,,,,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,,,,,,,,,,,,,14.5,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,,
Evan Mobley,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,,,,26.5,,,,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,,,,,,0.5,,,,,,,14.5,,,,,4.5,,,1.5,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,0.5,,,,,,,,,,9.5,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,,,19.5,,0.5,,,,,,,,,,
Harrison Barnes,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,,,,,,,,,12.5,,13.5,15.5,17.5,,,,,
Jalen Johnson,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,2.5,,4.5,,,,,,,,,,19.5,,,,,,,,,
Jalen Johnson,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,0.5,,,,,,,,,,,,14.5,,,,,7.5,,,0.5,
Jalen Johnson,"Mon, Feb 05 6:40 PM",vs LAC,Regular,,,,,,,,7.5,1.5,,37.5,,,16.5,,19.5,26.5,29.5,9.5,,13.0,,1.5
James Harden,"Mon, Feb 05 6:40 PM",vs ATL,Regular,7.0,,,9.5,,,0.5,,,,42.5,4.0,,20.5,,29.5,25.5,34.5,5.0,,14.5,,
James Harden + Trae Young,"Mon, Feb 05 6:30 PM",vs ATL/LAC,Regular,,,,,19.5,,,,,,,,,,,,,,,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,,,,,,,,,,,,,19.5,,,,,14.5,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Goblin,,,,,,,0.5,,,,,,,14.5,,,,,9.5,,,,
Jarrett Allen,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,8.0,1.5,,37.5,2.5,3.5,,,,,,,,,,
Jarrett Allen,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,,,,,,,,,,,16.5,,19.5,28.5,30.5,11.5,,13.5,,1.5
Jonas Valanciunas,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,,,3.5,,,,,,,,,,19.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,24.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,,,,,,,,,,,14.5,,,,,,,,,
Jonathan Kuminga,"Mon, Feb 05 6:40 PM",vs BKN,Regular,,,,,,,,,,13.0,32.5,3.5,,19.0,,21.5,25.5,28.5,6.5,,9.0,,
Josh Green,"Mon, Feb 05 6:10 PM",vs PHI,Regular,,,,,,,,,,,20.0,,,11.5,,13.5,15.5,17.5,4.0,,,0.5,
Kawhi Leonard,"Mon, Feb 05 6:40 PM",vs ATL,Regular,5.5,,,3.5,,,,,,19.0,46.5,4.0,,26.5,,30.5,33.5,36.5,6.5,,10.0,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,,,,,,,,,,,,,19.5,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,9.5,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,0.5,,26.5,1.5,,,,,,,,,,,
Keegan Murray,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,,,,,,,,,14.0,,15.5,19.0,20.5,5.0,,,,
Kelly Oubre Jr.,"Mon, Feb 05 6:10 PM",vs DAL,Regular,,,,,,1.5,,,,,28.5,,,17.5,,18.5,22.5,24.0,5.0,,,,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Demon,,3.5,,4.5,,,,,,,,,,14.5,,,,,5.5,,,1.5,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Goblin,,,,,,,,,,,,,,9.5,,,,,2.5,,,,
Kevin Huerter,"Mon, Feb 05 6:00 PM",vs CLE,Regular,,,,,,,,,,,22.5,0.5,0.5,,,,,,,,,,
Kevin Huerter,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,,,,,,,,,11.5,,14.5,15.5,18.5,,,,,
Klay Thompson,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,5.5,,3.5,,,,,,,,,,24.5,,,,,5.5,,,1.5,
Klay Thompson,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,,,,,,,,,,,14.5,,,,,,,,,
Klay Thompson,"Mon, Feb 05 6:40 PM",vs BKN,Regular,9.0,3.5,,,,,0.5,,,15.5,27.5,1.5,,18.5,,21.5,22.5,24.5,3.5,,,0.5,
Kyrie Irving,"Mon, Feb 05 6:00 PM",vs PHI,Demon,,,,,,,,,,,,,,34.5,,,,,7.5,,,1.5,
Kyrie Irving,"Mon, Feb 05 6:00 PM",vs PHI,Goblin,,,,3.5,,,,,,,,,,24.5,,,,,3.5,,,,
Kyrie Irving,"Mon, Feb 05 6:10 PM",vs PHI,Regular,,,,,,,,,,,42.0,,,25.5,,30.5,30.5,35.5,5.0,,10.0,,
LeBron James,"Mon, Feb 05 6:00 PM",vs CHA,Demon,,2.5,,,,,,,,,,,,29.5,,,,,9.5,,,,
LeBron James,"Mon, Feb 05 6:00 PM",vs CHA,Goblin,,,,,,,,,,,,,,19.5,,,,,5.5,,,,
LeBron James,"Mon, Feb 05 6:10 PM",vs CHA,Regular,,,,8.0,,,0.5,,,,,,,24.5,,33.5,32.5,41.5,7.5,,16.5,,
Luka Doncic,"Mon, Feb 05 6:00 PM",vs PHI,Demon,,5.5,,11.5,,,,,,,,,,39.5,,,,,,,,,
Luka Doncic,"Mon, Feb 05 6:00 PM",vs PHI,Goblin,,2.5,,7.5,,,,,,,,,,29.5,,,,,7.5,,,,
Luka Doncic,"Mon, Feb 05 6:10 PM",vs PHI,Regular,,,,10.0,,,0.5,,,,63.5,,,35.5,,45.5,45.5,56.0,10.0,,20.0,,
Luka Doncic + Trae Young,"Mon, Feb 05 6:00 PM",vs PHI/LAC,Regular,,,,,20.0,,,,,,,,,,62.5,,,,,,,,
Malik Monk,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,5.0,,,,,,,,,,14.5,,19.5,18.5,23.5,,,8.0,0.5,
Mason Plumlee,"Mon, Feb 05 6:40 PM",vs ATL,Regular,,,,,,,,,,,23.0,,,9.0,,10.5,,19.0,8.5,,10.0,,
Max Strus,"Mon, Feb 05 6:00 PM",vs SAC,Demon,,2.5,,4.5,,,,,,,,,,,,,,,6.5,,,1.5,
Max Strus,"Mon, Feb 05 6:00 PM",vs SAC,Regular,,,,,,,,,,,20.5,1.5,0.5,,,,,,,,,,
Max Strus,"Mon, Feb 05 6:10 PM",vs SAC,Regular,,,,,,,,,,,,,,9.5,,12.5,13.5,17.5,,,7.5,,
Mikal Bridges,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,4.5,,,,,,,,,,,,29.5,,,,,6.5,,,,
Mikal Bridges,"Mon, Feb 05 6:30 PM",vs GSW,Goblin,,,,2.5,,,,,,,,,,19.5,,,,,3.5,,,,
Mikal Bridges,"Mon, Feb 05 6:40 PM",vs GSW,Regular,7.5,,,3.5,,1.5,,,,18.0,36.5,3.5,,22.5,,26.5,27.5,31.5,5.0,,8.5,,
Nicolas Claxton,"Mon, Feb 05 6:40 PM",vs GSW,Regular,,,,,,,,9.0,1.5,,38.0,1.5,3.5,13.0,,15.5,25.5,27.5,12.5,,14.5,,
Onyeka Okongwu,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,,,,,,2.5,,,,,,,,,,,,11.5,,,,
Onyeka Okongwu,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,,,,,,0.5,,,,,,,,,,,,,,,,
Onyeka Okongwu,"Mon, Feb 05 6:40 PM",vs LAC,Regular,,,,,,,1.5,,,,30.0,,,12.0,,13.5,21.5,22.5,9.0,,10.0,,
Spencer Dinwiddie,"Mon, Feb 05 6:30 PM",vs GSW,Demon,,,,,,,0.5,,,,,,,,,,,,4.5,,,,
Spencer Dinwiddie,"Mon, Feb 05 6:40 PM",vs GSW,Regular,,,,6.0,,,,,,,25.0,,,11.0,,17.5,13.5,20.5,,,9.0,,
Stephen Curry,"Mon, Feb 05 6:30 PM",vs BKN,Demon,,,,,,,,,,,,,,34.5,,,,,,,,1.5,
Stephen Curry,"Mon, Feb 05 6:30 PM",vs BKN,Goblin,,,,3.5,,,,,,,,,,24.5,,,,,3.5,,,,
Stephen Curry,"Mon, Feb 05 6:40 PM",vs BKN,Regular,11.0,4.5,,5.5,,,,,,20.0,42.5,5.0,,28.5,,34.5,33.5,39.5,4.5,,10.0,,
Stephen Curry + Cam Thomas,"Mon, Feb 05 6:30 PM",vs BKN/GSW,Regular,,,,,,,,,,,,,,,53.5,,,,,,,,
Terance Mann,"Mon, Feb 05 6:40 PM",vs ATL,Regular,,,,,,,,,,,,,,8.5,,10.5,11.5,,,,,0.5,
Tobias Harris,"Mon, Feb 05 6:00 PM",vs DAL,Demon,,,,5.5,,,,,,,,,,29.5,,,,,,,,,
Tobias Harris,"Mon, Feb 05 6:00 PM",vs DAL,Goblin,,0.5,,2.5,,,,,,,,,,19.5,,,,,,,,,
Tobias Harris,"Mon, Feb 05 6:10 PM",vs DAL,Regular,,,,,,,,,,,38.5,,,22.5,,26.5,30.0,33.5,6.5,,10.5,,1.5
Trae Young,"Mon, Feb 05 6:30 PM",vs LAC,Demon,,,,11.5,,,,,,,,,,29.5,,,,,4.5,,,2.5,
Trae Young,"Mon, Feb 05 6:30 PM",vs LAC,Goblin,,2.5,,7.5,,,,,,,,,,24.5,,,,,1.5,,,,
Trae Young,"Mon, Feb 05 6:40 PM",vs LAC,Regular,9.5,3.5,,10.0,,,,,,20.0,45.5,6.5,,26.5,,36.5,29.5,40.5,,,13.0,,4.5
Trae Young + Donovan Mitchell,"Mon, Feb 05 6:00 PM",vs LAC/SAC,Regular,,,6.5,,,,,,,,,,,,,,,,,,,,
Trey Lyles,"Mon, Feb 05 6:10 PM",vs CLE,Regular,,,,,,0.5,,,,,,,,6.5,,,10.5,,,,,,0.5
Tyrese Maxey,"Mon, Feb 05 6:00 PM",vs DAL,Demon,,4.5,,,,,,,,,,,,34.5,,,,,,,,,
Tyrese Maxey,"Mon, Feb 05 6:00 PM",vs DAL,Goblin,,1.5,,4.5,,,,,,,,,,24.5,,,,,2.5,,,,1.5
Tyrese Maxey,"Mon, Feb 05 6:10 PM",vs DAL,Regular,,,,6.5,,,,,,,44.5,,,30.0,,36.5,32.5,39.5,,,10.0,,
Zion Williamson,"Mon, Feb 05 7:00 PM",vs TOR,Demon,,,,,,,,,,,,,,29.5,,,,,,,,,
Zion Williamson,"Mon, Feb 05 7:00 PM",vs TOR,Goblin,,,,,,,,,,,,,,19.5,,,,,,,,,
